Variable Type,Indicator.Name
% educated at level,Barro-Lee: Percentage of female population age 15-19 with no education
% educated at level,Barro-Lee: Percentage of female population age 15-19 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 15+ with no education
% educated at level,Barro-Lee: Percentage of female population age 15+ with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 15+ with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 20-24 with no education
% educated at level,Barro-Lee: Percentage of female population age 20-24 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 25-29 with no education
