Year,Country,"Adjusted net enrolment rate, primary, gender parity index (GPI)",All staff compensation as % of total expenditure in pre-primary public institutions (%),All staff compensation as % of total expenditure in primary public institutions (%),All staff compensation as % of total expenditure in public institutions (%),All staff compensation as % of total expenditure in secondary public institutions (%),All staff compensation as % of total expenditure in tertiary public institutions (%),"Barro-Lee: Average years of primary schooling, age 15+, total","Barro-Lee: Average years of secondary schooling, age 15+, total","Barro-Lee: Average years of tertiary schooling, age 15+, total","Barro-Lee: Average years of total schooling, age 15+, total",Barro-Lee: Percentage of population age 15+ with no education,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,Capital expenditure as % of total expenditure in pre-primary public institutions (%),Capital expenditure as % of total expenditure in primary public institutions (%),Capital expenditure as % of total expenditure in public institutions (%),Capital expenditure as % of total expenditure in secondary public institutions (%),Capital expenditure as % of total expenditure in tertiary public institutions (%),Duration of compulsory education (years),Expenditure on education as % of total government expenditure (%),GDP at market prices (current US$),GDP per capita (current US$),GNI (current US$),Government expenditure in educational institutions as % of GDP (%),Government expenditure on education as % of GDP (%),"Graduates from tertiary education, both sexes (number)","Graduates from tertiary education, female (number)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)","Inbound mobility rate, both sexes (%)",Internet users (per 100 people),"Labor force, female (% of total labor force)","Labor force, total","Mortality rate, under-5 (per 1,000)","Net enrolment rate, primary, gender parity index (GPI)","Net flow ratio of internationally mobile students (inbound - outbound), both sexes (%)",Official entrance age to compulsory education (years),"Out-of-school children of primary school age, both sexes (number)","Outbound mobility ratio, all regions, both sexes (%)","Over-age enrolment ratio in primary education, both sexes (%)","Percentage of all students in tertiary education enrolled in ISCED 6, both sexes (%)","Percentage of all students in tertiary education enrolled in ISCED 7, both sexes (%)","Percentage of all students in tertiary education enrolled in ISCED 8, both sexes (%)",Percentage of enrolment in early childhood education programmes in private institutions (%),Personal computers (per 100 people),Population growth (annual %),"Population of compulsory school age, both sexes (number)","Population, total",Pupil-teacher ratio in pre-primary education (headcount basis),Pupil-teacher ratio in primary education (headcount basis),Pupil-teacher ratio in secondary education (headcount basis),Pupil-teacher ratio in tertiary education (headcount basis),"Rate of out-of-school children of primary school age, both sexes (%)","School life expectancy, primary, both sexes (years)","School life expectancy, secondary, both sexes (years)","School life expectancy, tertiary, both sexes (years)",Theoretical duration of lower secondary education (years),Theoretical duration of post-secondary non-tertiary education (years),Theoretical duration of pre-primary education (years),Theoretical duration of primary education (years),Theoretical duration of secondary education (years),Theoretical duration of upper secondary education (years),"Total inbound internationally mobile students, both sexes (number)","Total net enrolment rate, primary, both sexes (%)","Total net enrolment rate, primary, gender parity index (GPI)","Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)"
1970,China,0,0,0,0,0,0,2.99,0.56,0.03,3.58,39.53,17.36,5.07,0.45,0,0,0,0,0,0,0,92602973434,113.1629916,92602973434,0,0,0,0,109.1377869,28.22388077,0.131139994,0,0,0,0,113.5,0,0,0,0,0,0,0,0,0,0,0,2.761675566,0,818315000,0,28.86952019,20.59746933,0.79124999,0,5.456890106,1.128960013,0.00656,2,0,4,5,4,2,0,0,0,0,0,0
1970,India,0,0,0,0,0,0,1.33,0.24,0.03,1.61,66.24,12.74,0.29,0.62,0,0,0,0,0,0,0,61589800520,111.2575706,61211133853,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,2.205114997,0,553578513,0,0,0,0,0,0,0,0,3,0,2,5,7,4,0,0,0,0,0,0
1970,United States,0,0,0,0,0,0,5.72,4.41,0.65,10.78,1.43,8.58,42.84,11.39,0,0,0,0,0,0,0,1.08E+12,5246.883717,1.08E+12,0,0,0,0,0,0,0,0,0,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,1.165002667,0,205052000,0,0,0,0,0,0,0,0,3,0,3,6,6,3,0,0,0,0,0,0
1971,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99800958648,118.6545778,99800958648,0,1.386989951,102672,0,108.3008118,37.98815155,0,0,0,0,0,107.8,0,0,0,0,0,0,0,0,0,0,0,2.74691555,0,841105000,0,29.14728928,21.83942986,0,0,5.415040016,1.519530058,0,2,0,4,5,4,2,0,0,0,0,0,0
1971,India,0.654690027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66452561868,117.3607381,66061516932,0,0,0,0,78.8656311,24.02639008,4.951029778,0,0,0,0,209.7,0.654690027,0,0,27981592,0,9.318189621,0,0,0,0,0,2.258760336,0,566224812,42.90584946,41.45214081,21.92317963,0,38.68470001,3.943490028,1.692669988,0.247549996,3,0,2,5,7,4,0,61.31529999,0.654690027,0,0,0
1971,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17E+12,5623.443978,1.17E+12,0,0,1331200,544423,88.49246979,83.84320068,47.32349014,0,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,1.264333692,0,207661000,0,0,0,14.80508041,0,5.309549809,5.030590057,2.36616993,3,0,3,6,6,3,0,0,0,0,0,0
1972,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14E+11,131.8835612,1.14E+11,0,1.606269956,0,0,109.9264679,45.78701019,0,0,0,0,0,102.3,0,0,0,0,0,0,0,0,0,0,0,2.45735693,0,862030000,0,27.37778091,23.00333023,0,0,5.496319771,1.831480026,0,2,0,4,5,4,2,0,0,0,0,0,0
1972,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70509913047,121.6922886,70119257729,0,0,0,0,79.57206726,24.49538994,0,0,0,0,0,206.1,0,0,0,0,0,0,0,0,0,0,0,2.3021762,0,579411513,46.50397873,41.62026978,21.48303986,0,0,3.978600025,1.714679956,0,3,0,2,5,7,4,0,0,0,0,0,0
1972,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28E+12,6109.925868,1.28E+12,0,0,0,0,88.01554108,84.84906006,48.16539001,0,0,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0,1.070522752,0,209896000,0,0,21.09770966,15.01451015,0,5.280930042,5.090939999,2.408269882,3,0,3,6,6,3,0,0,0,0,0,0
1973,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39E+11,157.0903743,1.39E+11,0,1.648550034,5945,0,117.2958679,51.99147034,0.212300003,0,0,0,0,96.7,0,0,0,0,0,0,0,0,0,0,0,2.283395364,0,881940000,0,28.53388023,21.2371006,1.488139987,0,5.864789963,2.079659939,0.01062,2,0,4,5,4,2,0,0,0,0,0,0
1973,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84374541625,142.2700813,83961213379,0,0,0,0,82.65651703,24.96640015,5.024750233,0,0,0,0,202.2,0,0,0,0,0,0,0,0,0,0,0,2.328080768,0,593058926,47.99958038,42.53532028,21.23763084,12.96238995,0,4.132830143,1.747650027,0.251239985,3,0,2,5,7,4,0,0,0,0,0,0
1973,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43E+12,6741.332364,1.44E+12,0,0,1507799,622529,90.27851105,0,48.62374878,0,0,0,0,20.6,0,0,0,0,0,0,0,0,0,0,0,0.954476729,0,211909000,0,0,0,15.41921997,0,5.4167099,0,2.431190014,3,0,3,6,6,3,0,0,0,0,0,0
1974,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44E+11,160.1400937,1.44E+11,0,1.759719968,16961,0,120.9589462,48.59341049,0.347900003,0,0,0,0,91.1,0,0,0,0,0,0,0,0,0,0,0,2.065955013,0,900350000,28.65497017,29.00278091,19.93684006,2.257560015,0,6.047949791,1.94374001,0.0174,2,0,4,5,4,2,0,0,0,0,0,0
1974,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98198276857,161.7630106,97833414025,0,0,0,0,82.01222229,0,0,0,0,0,0,198.1,0,0,0,0,0,0,0,0,0,0,0,2.331781668,0,607050255,0,42.52024841,0,0,0,4.100609779,0,0,3,0,2,5,7,4,0,0,0,0,0,0
1974,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55E+12,7242.441105,1.56E+12,0,0,0,0,89.40389252,85.16272736,48.98020172,0,0,0,0,19.7,0,0,0,0,0,0,0,0,0,0,0,0.913660196,0,213854000,0,0,0,15.48729992,0,5.364230156,5.109759808,2.449009895,3,0,3,6,6,3,0,0,0,0,0,0
